activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059001903,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,1,1,2,2,2,695000.0,75.00000,5.990,-0.686,2,9955.00,NA,3000.00,,509.25,360,NA,NA,2,2,2,2,935000,1,1,3,5,1,NA,146,43,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,2,,,,,10,,,,3539,80.08,129000,92,541,717,63
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059021922,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,2,1,1,1,2,2,2,745000.0,95.00000,6.875,0.313,2,12063.45,NA,7476.50,,7854.37,360,NA,NA,2,2,2,2,785000,1,1,3,5,1,NA,647,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,25-34,55-64,No,No,2,1,2,,,,,10,,,,4953,45.04,129000,121,1377,1684,29
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059032012,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,1,1,1,2,2,2,755000.0,60.00000,6.490,-0.162,2,11963.65,NA,8700.00,8700.00,55.25,360,NA,NA,2,2,2,2,1255000,1,1,3,5,1,NA,155,48,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,2,2,1,,,,,10,,,,3591,32.22,129000,144,1053,1125,53
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059110115,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Female,1,0,2,1,1,1,2,2,2,595000.0,65.13700,2.990,NA,2,2332.00,NA,900.00,,,323,NA,NA,2,2,2,2,915000,1,1,3,5,1,NA,185,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,2,24,5,,,2,2,2,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,3555,78.76,129000,98,735,986,51
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059086601,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Joint,1,2,2,2,1,1,2,2,2,735000.0,94.80000,6.000,0.032,2,17346.00,NA,1095.00,,185.90,360,NA,NA,2,2,2,2,765000,1,1,3,5,1,NA,157,49,3,9,2,,,,,2,,,,,2,2,43,,,,,43,44,,,,2,2,2,1,2,2,35-44,35-44,No,No,2,1,3,,,,,10,,,,8735,92.57,129000,55,638,1620,52
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059042312,NC,VA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Male,3,0,2,3,1,1,2,2,2,2055000.0,100.00000,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,2015000,1,1,3,5,1,NA,524,40,3,9,1,14,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,25-34,45-54,No,No,2,1,1,,,,,6,,,,8497,75.49,129000,93,1194,2181,46
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059099306,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,2,1,1,2,2,2,615000.0,81.33700,3.250,NA,2,5135.00,NA,900.00,,84.90,331,NA,NA,2,2,2,2,755000,1,1,3,5,1,NA,164,39,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,6060,33,129000,90,750,2160,48
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059011300,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,0,2,3,1,1,2,2,2,655000.0,88.43400,2.250,NA,2,3634.35,NA,300.00,,,328,NA,NA,2,2,2,2,735000,1,1,3,5,1,NA,413,<20%,1,9,2,,,,,14,,,,,2,2,5,,,,,6,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,5510,54.81,129000,99,612,1312,52
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059086902,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,2,3,1,1,2,2,2,1125000.0,100.00000,5.625,-0.33,2,30175.34,NA,1095.00,,3157.46,360,NA,NA,2,2,2,2,1105000,1,1,3,5,1,NA,211,50%-60%,3,10,2,,,,,5,,,,,2,4,2,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,5705,75.3,129000,84,731,1120,47
2024,549300LYRWPSYPK6S325,11244,CA,06059,06059032047,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,3,2,1,1,1,2,2,2,555000.0,87.00000,6.250,0.508,2,6690.73,NA,2225.00,,,360,NA,NA,2,2,2,2,635000,1,1,3,5,1,NA,124,48,1,10,2,,,,,5,,,,,2,4,2,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,2,2,,,,,10,,,,4545,46.38,129000,106,1088,1023,33
