row_id,y_true,score_logistic_regression,score_hist_gradient_boosting,error_taxonomy,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,review_note
9671,0,0.912050279980104,0.8142829692294474,high_score_non_default_false_alarm,170000,1,1,2,48,2,2,7,7,7,7,2400,2400,2400,0,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
28747,0,0.9175226079278138,0.8094883487086456,high_score_non_default_false_alarm,50000,2,2,1,28,3,2,2,7,7,7,2400,2400,2400,0,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
10142,0,0.7905585771663722,0.7986904134038523,high_score_non_default_false_alarm,400000,1,1,2,39,2,2,2,2,2,2,50747,49666,52727,0,4500,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
25248,0,0.8864800046083806,0.7896690070219217,high_score_non_default_false_alarm,120000,2,2,2,23,3,2,2,5,5,4,1250,1250,1250,0,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
13421,0,0.7982817225003613,0.7885178332412129,high_score_non_default_false_alarm,100000,2,1,2,29,2,2,2,2,2,2,74032,75557,76434,3300,2700,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
7067,0,0.8442381692949292,0.785276418627598,high_score_non_default_false_alarm,90000,2,1,2,30,2,2,3,3,3,3,750,750,750,0,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11844,0,0.8869274679482267,0.7824388229623717,high_score_non_default_false_alarm,30000,2,1,2,24,2,2,6,6,5,4,1800,1800,1800,0,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
1521,0,0.9275830186982186,0.7791418584575147,high_score_non_default_false_alarm,60000,1,2,2,40,3,3,5,4,3,2,9744,10940,10630,1500,0,0,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
798,0,0.8356756158840442,0.7771267609966991,high_score_non_default_false_alarm,100000,2,1,2,48,2,2,2,2,2,0,15355,17949,18158,3164,800,800,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
11993,0,0.7404468421878739,0.7725356674813635,high_score_non_default_false_alarm,100000,2,3,1,28,2,0,0,2,2,2,29770,30485,32434,1825,3100,1300,"Manual error review sample. High-score non-defaults may indicate conservative risk scoring; low-score defaults may indicate missed risk. These are diagnostic cases, not causal explanations."
