dataset,model,random_seed,n_train,n_test,label_prevalence_test,roc_auc,average_precision,brier_score,top_10pct_capture,claim_boundary,table_section,n_runs,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_score_mean,brier_score_std,top_10pct_capture_mean,top_10pct_capture_std,label_prevalence_test_mean
UCI Default of Credit Card Clients,logistic_regression,7.0,21000.0,9000.0,0.2212222222222222,0.7293725961433384,0.5085052572128793,0.20551035088152317,0.30838774485183323,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,7.0,21000.0,9000.0,0.2212222222222222,0.7891769919983055,0.5712065255459187,0.1315349225018651,0.32747363134103463,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,logistic_regression,21.0,21000.0,9000.0,0.2212222222222222,0.7362840658552013,0.5249221822264816,0.20384492267101073,0.3149171270718232,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,21.0,21000.0,9000.0,0.2212222222222222,0.7934183996338495,0.582440054602828,0.1303038179310761,0.32948267202410847,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,logistic_regression,42.0,21000.0,9000.0,0.2212222222222222,0.7158905401027409,0.49572672444033483,0.2079996918678749,0.2983425414364641,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,42.0,21000.0,9000.0,0.2212222222222222,0.7772975249802596,0.5493260281956147,0.13590642196631592,0.311401305876444,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,logistic_regression,84.0,21000.0,9000.0,0.2212222222222222,0.7280806861007219,0.5148015407721231,0.20737870759212565,0.3129080863887494,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,84.0,21000.0,9000.0,0.2212222222222222,0.7858324007470054,0.5749770886400853,0.13211059958991095,0.32898041185334004,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,logistic_regression,202.0,21000.0,9000.0,0.2212222222222222,0.7175595573145211,0.5044465203690455,0.2068050532437248,0.3164239075841286,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,202.0,21000.0,9000.0,0.2212222222222222,0.7772134327687605,0.5611054223430036,0.1337699633548005,0.323455549974887,"Robustness across seeds supports stability diagnostics, not deployment readiness.",run_level,,,,,,,,,,
UCI Default of Credit Card Clients,hist_gradient_boosting,,,,,,,,,This table checks whether core metrics are stable across random seeds. It does not prove that the score is suitable for lending deployment.,summary,5.0,0.7845877500256362,0.007213158219917344,0.5678110238654901,0.01287973808956483,0.1327251450687937,0.0021719397414391955,0.3241587142139628,0.007513785295815467,0.2212222222222222
UCI Default of Credit Card Clients,logistic_regression,,,,,,,,,This table checks whether core metrics are stable across random seeds. It does not prove that the score is suitable for lending deployment.,summary,5.0,0.7254374891033046,0.008563378852803267,0.5096804450041729,0.010977448774910142,0.20630774525125184,0.0016551655333432744,0.3101958814665997,0.00728363839047612,0.2212222222222222
