date,asset,coinmetrics_asset,AdrActCnt,CapMrktCurUSD,SplyCur,TxCnt
2021-01-01,BTC,btc,1001890.0,546123272590.4994,18587827.69247703,261318.0
2021-01-01,ETH,eth,510102.0,83392527577.60791,114093437.79937296,1136712.0
2021-01-01,USDC,usdc,22634.0,4129174966.9594254,4129508909.107182,39828.0
2021-01-01,USDT,usdt,179447.0,21731590208.02136,21680408541.51808,405298.0
2021-01-02,BTC,btc,1140633.0,595262299159.9148,18588771.44247703,297595.0
2021-01-02,ETH,eth,514898.0,88467283101.45692,114107659.6241192,1170839.0
2021-01-02,USDC,usdc,23527.0,4119730823.507957,4120162702.360362,45857.0
2021-01-02,USDT,usdt,190235.0,21897792148.855877,21880408541.51808,436464.0
2021-01-03,BTC,btc,1184688.0,618626936448.978,18589758.94247703,359641.0
2021-01-03,ETH,eth,583017.0,113022171397.96152,114121696.8626844,1234419.0
2021-01-03,USDC,usdc,23570.0,4222780368.6000266,4222978732.598121,44031.0
2021-01-03,USDT,usdt,200499.0,22711593268.157097,22680408541.51808,445300.0
2021-01-04,BTC,btc,1270082.0,591228627330.5771,18590840.19247703,370865.0
2021-01-04,ETH,eth,622704.0,117596170885.09988,114135751.92716204,1275169.0
2021-01-04,USDC,usdc,24427.0,4344881407.706186,4343135947.941849,45738.0
2021-01-04,USDT,usdt,226355.0,22698291509.617672,22680408541.51808,492437.0
2021-01-05,BTC,btc,1230529.0,632366860903.1603,18591821.44241151,355008.0
2021-01-05,ETH,eth,590568.0,125742960421.83228,114149916.15282346,1258441.0
2021-01-05,USDC,usdc,25168.0,4378258244.130702,4378107725.291158,45569.0
2021-01-05,USDT,usdt,222722.0,22947830325.614407,22880408541.51808,489523.0
2021-01-06,BTC,btc,1344921.0,681305813105.2504,18592927.69241151,398455.0
2021-01-06,ETH,eth,615398.0,136922869199.13203,114164001.52767552,1280434.0
2021-01-06,USDC,usdc,27594.0,4421303302.253339,4420846433.255425,46680.0
2021-01-06,USDT,usdt,242861.0,23631366267.646553,23578711738.31808,516813.0
2021-01-07,BTC,btc,1292297.0,729174942657.4891,18593977.69238421,402123.0
2021-01-07,ETH,eth,657941.0,139321539857.9189,114177935.59232162,1298568.0
2021-01-07,USDC,usdc,27131.0,4475379769.397701,4477456106.351074,45303.0
2021-01-07,USDT,usdt,229201.0,24005261399.599613,23978711738.31808,522361.0
2021-01-08,BTC,btc,1237271.0,758214680099.2676,18594902.69238421,358440.0
2021-01-08,ETH,eth,625530.0,139300816746.43192,114192161.84317848,1288953.0
2021-01-08,USDC,usdc,27241.0,4576363910.557401,4576604854.954835,47715.0
2021-01-08,USDT,usdt,219892.0,24302887914.713913,24278711738.31808,521889.0
2021-01-09,BTC,btc,1094947.0,750723981944.4558,18595771.44238421,318922.0
2021-01-09,ETH,eth,611578.0,146979958226.2945,114206184.09273615,1231759.0
2021-01-09,USDC,usdc,29926.0,4753609393.816788,4752966691.300085,47203.0
2021-01-09,USDT,usdt,211896.0,24769997788.2136,24678711738.31808,476325.0
