date,total_dex_volume
2014-02-17,6.23
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,4.27
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,112.0
2014-03-08,0.0
2014-03-09,133.0
2014-03-10,0.0
2014-03-11,66.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,0.0
2014-03-18,3336.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,0.0
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,0.0
2014-04-09,4.24
2014-04-10,0.0
2014-04-11,0.0
2014-04-12,0.16
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.8
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,25.0
2014-06-05,25.0
2014-06-06,0.65
2014-06-07,13.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,6.07
2014-06-17,6.44
2014-06-18,18.0
2014-06-19,82.0
2014-06-20,111.0
2014-06-21,2.74
2014-06-22,36.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,15.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,349.0
2014-06-29,27.49
2014-06-30,1046.0
2014-07-01,14.77
2014-07-02,443.0
2014-07-03,25.88
2014-07-04,2100.0
2014-07-05,45.0
2014-07-06,786.0
2014-07-07,157.0
2014-07-08,18.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,175.0
2014-07-12,125.0
2014-07-13,0.0
2014-07-14,15.63
2014-07-15,485.0
2014-07-16,0.0
2014-07-17,227.0
2014-07-18,236.0
2014-07-19,57.3
2014-07-20,47.0
2014-07-21,63.3
2014-07-22,35.0
2014-07-23,161.0
2014-07-24,5.21
2014-07-25,79.87
2014-07-26,10.85
2014-07-27,75.98
2014-07-28,350.0
2014-07-29,1.2
2014-07-30,10.01
2014-07-31,11.0
2014-08-01,13.41
2014-08-02,33.28
2014-08-03,135.0
2014-08-04,606.0
2014-08-05,35.41
2014-08-06,30.69
2014-08-07,5.45
2014-08-08,128.0
2014-08-09,19.27
2014-08-10,191.0
2014-08-11,301.0
2014-08-12,246.0
2014-08-13,124.0
2014-08-14,78.51
2014-08-15,304.0
2014-08-16,1762.0
2014-08-17,595.0
2014-08-18,67.33
2014-08-19,234.0
2014-08-20,371.0
2014-08-21,3.95
2014-08-22,103.0
2014-08-23,87.34
2014-08-24,8.66
2014-08-25,206.0
2014-08-26,991.0
2014-08-27,83.81
2014-08-28,185.0
2014-08-29,147.0
2014-08-30,54.14
2014-08-31,119.0
2014-09-01,26.94
2014-09-02,94.38
2014-09-03,5.73
2014-09-04,562.0
2014-09-05,462.0
2014-09-06,70.03
2014-09-07,459.0
2014-09-08,466.0
2014-09-09,419.0
2014-09-10,2998.0
2014-09-11,31.79
2014-09-12,8.17
2014-09-13,917.0
2014-09-14,662.0
2014-09-15,407.0
2014-09-16,768.0
2014-09-17,1748.0
2014-09-18,120.0
2014-09-19,64.01
2014-09-20,55.19
2014-09-21,600.0
2014-09-22,319.0
2014-09-23,1000.0
2014-09-24,287.0
2014-09-25,2.28
2014-09-26,5.39
2014-09-27,13.0
2014-09-28,38.57
2014-09-29,249.0
2014-09-30,9.95
2014-10-01,74.2
2014-10-02,2.4
2014-10-03,38.0
2014-10-04,92.79
2014-10-05,336.0
2014-10-06,331.0
2014-10-07,17.06
2014-10-08,17.23
2014-10-09,5.02
2014-10-10,94.0
2014-10-11,18.37
2014-10-12,226.0
2014-10-13,700.0
2014-10-14,141.0
2014-10-15,13.73
2014-10-16,28.97
2014-10-17,222.0
2014-10-18,174.0
2014-10-19,55.51
2014-10-20,424.0
2014-10-21,75.21
2014-10-22,253.0
2014-10-23,118.0
2014-10-24,81.75
2014-10-25,56.11
2014-10-26,27.74
2014-10-27,242.0
2014-10-28,105.0
2014-10-29,30.68
2014-10-30,42.08
2014-10-31,346.0
2014-11-01,75.76
2014-11-02,309.0
2014-11-03,194.0
2014-11-04,169.0
2014-11-05,124.0
2014-11-06,0.0
2014-11-07,57.22
2014-11-08,12.88
2014-11-09,22.52
2014-11-10,109.0
2014-11-11,106.0
2014-11-12,308.0
2014-11-13,952.0
2014-11-14,61.0
2014-11-15,5.39
2014-11-16,367.0
2014-11-17,1.92
2014-11-18,321.0
2014-11-19,349.0
2014-11-20,131.0
2014-11-21,31.05
2014-11-22,101.0
2014-11-23,60.71
2014-11-24,24.88
2014-11-25,80.0
2014-11-26,14.45
2014-11-27,414.0
2014-11-28,22.99
2014-11-29,36.55
2014-11-30,79.14
2014-12-01,13.49
2014-12-02,2.09
2014-12-03,48.0
2014-12-04,320.0
2014-12-05,0.09
2014-12-06,262.0
2014-12-07,44.0
2014-12-08,110.0
2014-12-09,430.0
2014-12-10,77.78
2014-12-11,752.0
2014-12-12,227.0
2014-12-13,287.0
2014-12-14,116.0
2014-12-15,62.83
2014-12-16,4.09
2014-12-17,225.0
2014-12-18,629.0
2014-12-19,214.0
2014-12-20,45.99
2014-12-21,145.0
2014-12-22,5.15
2014-12-23,163.0
2014-12-24,0.14
2014-12-25,40.26
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,53.01
2014-12-29,34.06
2014-12-30,0.01
2014-12-31,38.11
2015-01-01,0.0
2015-01-02,0.02
2015-01-03,2.76
2015-01-04,2.5
2015-01-05,218.0
2015-01-06,45.79
2015-01-07,4.55
2015-01-08,0.51
2015-01-09,4.23
2015-01-10,66.69
2015-01-11,455.0
2015-01-12,0.82
2015-01-13,4.53
2015-01-14,1.24
2015-01-15,0.0
2015-01-16,125.0
2015-01-17,291.0
2015-01-18,0.08
2015-01-19,1.1
2015-01-20,3.71
2015-01-21,12.2
2015-01-22,5.04
2015-01-23,11.37
2015-01-24,0.0
2015-01-25,1.16
2015-01-26,0.89
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,3.55
2015-01-30,2.14
2015-01-31,15.31
2015-02-01,0.29
2015-02-02,59.32
2015-02-03,0.64
2015-02-04,90.66
2015-02-05,3.43
2015-02-06,103.0
2015-02-07,7.87
2015-02-08,0.0
2015-02-09,0.23
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,1.0
2015-02-13,21.25
2015-02-14,5.24
2015-02-15,21.2
2015-02-16,10.14
2015-02-17,1.78
2015-02-18,4.02
2015-02-19,0.25
2015-02-20,0.0
2015-02-21,7.51
2015-02-22,7.65
2015-02-23,10.69
2015-02-24,335.0
2015-02-25,1.16
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,23.41
2015-03-01,316.0
2015-03-02,13.9
2015-03-03,0.68
2015-03-04,0.69
2015-03-05,17.36
2015-03-06,0.0
2015-03-07,43.75
2015-03-08,55.18
2015-03-09,110.0
2015-03-10,10.74
2015-03-11,4.97
2015-03-12,25.0
2015-03-13,2.77
2015-03-14,2.67
2015-03-15,15.14
2015-03-16,29.5
2015-03-17,3.51
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,2.89
2015-03-22,1.27
2015-03-23,38.75
2015-03-24,5.86
2015-03-25,1.69
2015-03-26,0.0
2015-03-27,0.39
2015-03-28,2.5
2015-03-29,1.52
2015-03-30,0.02
2015-03-31,5.04
2015-04-01,0.77
2015-04-02,0.52
2015-04-03,0.0
2015-04-04,1.63
2015-04-05,2.3
2015-04-06,0.44
2015-04-07,2.69
2015-04-08,81.18
2015-04-09,17.42
2015-04-10,0.95
2015-04-11,42.44
2015-04-12,0.0
2015-04-13,1.92
2015-04-14,15.01
2015-04-15,0.0
2015-04-16,5.8
2015-04-17,1.3
2015-04-18,3.5
2015-04-19,0.37
2015-04-20,1.82
2015-04-21,4.43
2015-04-22,0.1
2015-04-23,3.64
2015-04-24,0.67
2015-04-25,44.0
2015-04-26,13.92
2015-04-27,1.02
2015-04-28,32.28
2015-04-29,4.94
2015-04-30,0.0
2015-05-01,5.98
2015-05-02,19.64
2015-05-03,3.45
2015-05-04,23.94
2015-05-05,11.21
2015-05-06,20.92
2015-05-07,73.52
2015-05-08,66.09
2015-05-09,66.25
2015-05-10,60.95
2015-05-11,233.0
2015-05-12,7.04
2015-05-13,8.69
2015-05-14,0.64
2015-05-15,0.76
2015-05-16,58.39
2015-05-17,11.84
2015-05-18,1.71
2015-05-19,14.0
2015-05-20,6.06
2015-05-21,5.08
2015-05-22,1.39
2015-05-23,10.91
2015-05-24,17.91
2015-05-25,11.01
2015-05-26,4.44
2015-05-27,0.26
2015-05-28,1.95
2015-05-29,102.0
2015-05-30,0.01
2015-05-31,2.85
2015-06-01,25.0
2015-06-02,46.26
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,6.11
2015-06-06,5.43
2015-06-07,7.55
2015-06-08,80.0
2015-06-09,7.64
2015-06-10,23.08
2015-06-11,15.14
2015-06-12,45.1
2015-06-13,113.0
2015-06-14,31.1
2015-06-15,31.55
2015-06-16,11.02
2015-06-17,0.0
2015-06-18,11.61
2015-06-19,9.07
2015-06-20,1.05
2015-06-21,7.75
2015-06-22,105.0
2015-06-23,98.04
2015-06-24,3.98
2015-06-25,53.66
2015-06-26,0.0
2015-06-27,34.96
2015-06-28,16.21
2015-06-29,3.85
2015-06-30,58.1
2015-07-01,43.0
2015-07-02,28.57
2015-07-03,25.49
2015-07-04,16.02
2015-07-05,45.03
2015-07-06,0.0
2015-07-07,0.02
2015-07-08,0.0
2015-07-09,28.0
2015-07-10,15.15
2015-07-11,3.65
2015-07-12,7.53
2015-07-13,82.0
2015-07-14,4.22
2015-07-15,8.95
2015-07-16,26.23
2015-07-17,16.0
2015-07-18,58.0
2015-07-19,29.64
2015-07-20,13.11
2015-07-21,243.0
2015-07-22,451.0
2015-07-23,45.05
2015-07-24,16.75
2015-07-25,115.0
2015-07-26,75.05
2015-07-27,5.12
2015-07-28,0.0
2015-07-29,1.79
2015-07-30,10.0
2015-07-31,198.0
2015-08-01,91.21
2015-08-02,162.0
2015-08-03,1.35
2015-08-04,34.0
2015-08-05,168.0
2015-08-06,348.0
2015-08-07,17.0
2015-08-08,19.82
2015-08-09,79.75
2015-08-10,20.36
2015-08-11,0.0
2015-08-12,242.0
2015-08-13,167.0
2015-08-14,43.15
2015-08-15,22.96
2015-08-16,30.76
2015-08-17,99.0
2015-08-18,12.0
2015-08-19,10.15
2015-08-20,47.81
2015-08-21,33.98
2015-08-22,293.0
2015-08-23,63.84
2015-08-24,9.06
2015-08-25,140.0
2015-08-26,100.0
2015-08-27,3.44
2015-08-28,30.75
2015-08-29,25.94
2015-08-30,288.0
2015-08-31,14.06
2015-09-01,50.0
2015-09-02,49.39
2015-09-03,36.0
2015-09-04,11.0
2015-09-05,5.35
2015-09-06,10.14
2015-09-07,22.61
2015-09-08,11.08
2015-09-09,2.21
2015-09-10,275.0
2015-09-11,69.67
2015-09-12,4.15
2015-09-13,0.0
2015-09-14,15.0
2015-09-15,37.69
2015-09-16,0.07
2015-09-17,53.43
2015-09-18,0.76
2015-09-19,199.0
2015-09-20,0.07
2015-09-21,26.44
2015-09-22,17.92
2015-09-23,494.0
2015-09-24,22.71
2015-09-25,33.0
2015-09-26,46.4
2015-09-27,116.0
2015-09-28,0.0
2015-09-29,101.0
2015-09-30,45.37
2015-10-01,63.25
2015-10-02,8.74
2015-10-03,49.42
2015-10-04,0.0
2015-10-05,1.67
2015-10-06,1048.0
2015-10-07,68.05
2015-10-08,165.0
2015-10-09,11.0
2015-10-10,0.86
2015-10-11,38.41
2015-10-12,18.28
2015-10-13,285.0
2015-10-14,143.0
2015-10-15,48.12
2015-10-16,648.0
2015-10-17,11.15
2015-10-18,0.0
2015-10-19,72.4
2015-10-20,0.91
2015-10-21,20.38
2015-10-22,49.38
2015-10-23,286.0
2015-10-24,266.0
2015-10-25,351.0
2015-10-26,3.85
2015-10-27,15.99
2015-10-28,76.2
2015-10-29,38.52
2015-10-30,25.09
2015-10-31,0.0
2015-11-01,35.29
2015-11-02,32.0
2015-11-03,74.66
2015-11-04,16.32
2015-11-05,99.03
2015-11-06,68.89
2015-11-07,126.0
2015-11-08,1.34
2015-11-09,45.08
2015-11-10,14.51
2015-11-11,17.87
2015-11-12,78.89
2015-11-13,100.0
2015-11-14,0.0
2015-11-15,61.02
2015-11-16,12.96
2015-11-17,0.88
2015-11-18,213.0
2015-11-19,143.0
2015-11-20,64.14
2015-11-21,3.0
2015-11-22,55.73
2015-11-23,37.63
2015-11-24,43.02
2015-11-25,190.0
2015-11-26,33.0
2015-11-27,0.27
2015-11-28,239.0
2015-11-29,44.23
2015-11-30,15.29
2015-12-01,1.11
2015-12-02,67.89
2015-12-03,38.75
2015-12-04,75.0
2015-12-05,8.84
2015-12-06,147.0
2015-12-07,52.78
2015-12-08,291.0
2015-12-09,95.61
2015-12-10,2.97
