totalCirculatingUSD,name
{'peggedUSD': 5913161.771866074},Manta
{'peggedUSD': 415483.0084123961},ThunderCore
{'peggedUSD': 38139814.681218505},Movement
{'peggedUSD': 32802.89930061439},Shiden
{'peggedUSD': 0},Corn
{'peggedUSD': 159452836.67582607},Starknet
"{'peggedUSD': 92048627648.74216, 'peggedRUB': 459194962.31881857, 'peggedCNY': 2224614.9, 'peggedEUR': 6941399.548114889}",Tron
{'peggedUSD': 2774232.0377066946},CORE
{'peggedUSD': 343352.606410083},ApeChain
"{'peggedUSD': 0, 'peggedSGD': 978946.3109223023}",Zilliqa
{'peggedUSD': 824613.6131043563},Peaq
{'peggedUSD': 0},Evmos
{'peggedUSD': 0},Milkomeda C1
{'peggedUSD': 0},SX Network
"{'peggedUSD': 720451518.4224664, 'peggedEUR': 678419.9008278801}",Monad
{'peggedUSD': 1234940925.1070907},Aptos
"{'peggedUSD': 48605133.41457118, 'peggedCHF': 3.754513492923587, 'peggedEUR': 1.633762504642061}",Tezos
{'peggedUSD': 33904850.51602945},PulseChain
{'peggedUSD': 239568.74061665137},Kusama
{'peggedUSD': 11473955.290166376},Immutable zkEVM
"{'peggedUSD': 35038488.419975445, 'peggedAUD': 836.628037567932, 'peggedCHF': 78694.66410764684, 'peggedSGD': 39071.6932580427}",Hedera
"{'peggedUSD': 990.0469842953554, 'peggedVAR': 0}",Loopring
"{'peggedUSD': 43717720.594008975, 'peggedEUR': 846451.2490746046}",Algorand
"{'peggedUSD': 3030737812.7002525, 'peggedVAR': 19424.75451695649, 'peggedEUR': 6047967.536900318, 'peggedUAH': 3132.4418273659758, 'peggedARS': 28114.134340373967, 'peggedGBP': 85008.50169925722, 'peggedCAD': 48990.20683106074, 'peggedCHF': 96349.51470706335, 'peggedSGD': 1431319.0279604166, 'peggedTRY': 352985.35641701124, 'peggedREAL': 3608528.816946251, 'peggedJPY': 3846467.174317878, 'peggedCLP': 5163.316839576246, 'peggedCOP': 4369.363080695957, 'peggedMXN': 4293.754612149607, 'peggedPEN': 1259.7474304877403, 'peggedAUD': 558726.8737214373, 'peggedKRW': 41450.4656741116}",Polygon
{'peggedUSD': 0},DefiChain
{'peggedUSD': 685379.2741605148},MANTRA
{'peggedUSD': 26826288.02860627},Unichain
{'peggedUSD': 1009424.454605445},Wanchain
{'peggedUSD': 6367598.934905893},Metis
{'peggedUSD': 77179578.17779218},Kava
{'peggedUSD': 0},Ontology
{'peggedUSD': 152978594.88595018},Ink
"{'peggedUSD': 246777993.91000694, 'peggedJPY': 12244807.83369904}",Kaia
{'peggedUSD': 2139.4554556370867},Reinetwork
"{'peggedUSD': 35443836.0387809, 'peggedKRW': 305.6397404160653}",Morph
"{'peggedUSD': 28234161.900611322, 'peggedVAR': 6450.610266665959}",Osmosis
{'peggedUSD': 3970833.5628209924},IoTeX
"{'peggedUSD': 146575547828.73303, 'peggedVAR': 9005670.036868155, 'peggedEUR': 551023518.4578327, 'peggedJPY': 132141884.21843043, 'peggedCNY': 819773.2709958086, 'peggedGBP': 19995764.34417201, 'peggedCAD': 2203939.7913234, 'peggedCHF': 37105209.557764344, 'peggedAUD': 7906314.521889298, 'peggedRUB': 8815260.947215427, 'peggedMXN': 1154709.260011288, 'peggedSGD': 8223764.642975148, 'peggedTRY': 749279.641423361, 'peggedARS': 5959129.496035384, 'peggedREAL': 594098.7945404539, 'peggedCLP': 4551.049281966597, 'peggedCOP': 7693.261919595118, 'peggedPEN': 2026.1552056618702, 'peggedMYR': 123108.91602829241, 'peggedKRW': 204384.72797741918}",Ethereum
"{'peggedUSD': 78088790.1683717, 'peggedAUD': 182950.85328304826}",XDC
"{'peggedUSD': 67441432.19815616, 'peggedEUR': 206.22591933267648}",Cardano
"{'peggedUSD': 36819485.831418894, 'peggedEUR': 546640.0629976088}",Linea
{'peggedUSD': 73760.4549385247},EthereumClassic
{'peggedUSD': 402487755.0448763},Waves
{'peggedUSD': 7990351.523163881},Soneium
{'peggedUSD': 71322.77679823618},Vana
{'peggedUSD': 1896103.4044119688},Somnia
{'peggedUSD': 0},Rari
{'peggedUSD': 914502.7061895857},Mode
{'peggedUSD': 10594696.520961393},KCC
{'peggedUSD': 0},Kardia
{'peggedUSD': 1714990.0962637162},Vaulta
{'peggedUSD': 59301590.14867722},Berachain
{'peggedUSD': 1381083.8225023276},EDU Chain
{'peggedUSD': 0},Crab
{'peggedUSD': 332113.94368955016},Bittorrent
{'peggedUSD': 36947.89846652172},Theta
{'peggedUSD': 8019485.859763199},MultiversX
{'peggedUSD': 14061993.424995001},Katana
"{'peggedUSD': 464812068.76656544, 'peggedVAR': 29242.619104511756, 'peggedEUR': 39621.896457611205, 'peggedJPY': 0.5526642488777133, 'peggedCHF': 46436.304544255254}",OP Mainnet
{'peggedUSD': 634924.8096456},IOTA EVM
{'peggedUSD': 239568.74061665137},Statemine
{'peggedUSD': 0},Glue
{'peggedUSD': 0},Harmony
"{'peggedUSD': 13374086588.29598, 'peggedEUR': 10955760.717112893, 'peggedGBP': 11295.790961242621, 'peggedTRY': 197599.88246533106, 'peggedARS': 56410.12388253622, 'peggedREAL': 45032.60954320924, 'peggedCLP': 5030.596319634064, 'peggedCOP': 6978.835876483325, 'peggedMXN': 5155.694427599487, 'peggedPEN': 1259.3468289937903}",BSC
{'peggedUSD': 0},Dogechain
{'peggedUSD': 72838232.06750272},Flow
{'peggedUSD': 1351017.8798732108},Astar
{'peggedUSD': 0},Heco
{'peggedUSD': 404764.057514647},Oasis Emerald
{'peggedUSD': 873367.004792767},Data Network
{'peggedUSD': 7302091.422374235},Citrea
"{'peggedUSD': 1556422000.790308, 'peggedVAR': 108.7266144994715, 'peggedEUR': 6598884.334092216, 'peggedCHF': 673615.2384861761, 'peggedSGD': 1255916.2055116629, 'peggedTRY': 258137.73829472024, 'peggedGBP': 21.75291230687155, 'peggedJPY': 555223.5445986999, 'peggedAUD': 0}",Avalanche
{'peggedUSD': 712473.9837330851},Telos
"{'peggedUSD': 3493253853.076431, 'peggedVAR': 79042.07849606755, 'peggedEUR': 4466296.243120948, 'peggedJPY': 7999.721855509335, 'peggedCAD': 10788.93103557206, 'peggedCHF': 20341.546928099797, 'peggedSGD': 16545.455513823796, 'peggedGBP': 58622.49623769338}",Arbitrum
{'peggedUSD': 11676571.829676826},Stacks
"{'peggedUSD': 808154.4060060245, 'peggedAUD': 71182.10442397537}",Redbelly
{'peggedUSD': 20496.413167484974},Viction
{'peggedUSD': 90988.7181462531},GOAT
