method_a,method_b,spearman_corr,top_share,top_n,top_overlap_count,jaccard_top_overlap,claim_boundary
transparent_risk_score,isolation_forest_score,0.3333799804659614,0.01,115,68,0.41975308641975306,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,isolation_forest_score,0.3333799804659614,0.05,574,253,0.28268156424581004,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,isolation_forest_score,0.3333799804659614,0.1,1149,477,0.26194398682042835,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,lof_score,0.34955137344392034,0.01,115,18,0.08490566037735849,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,lof_score,0.34955137344392034,0.05,574,116,0.1124031007751938,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,lof_score,0.34955137344392034,0.1,1149,282,0.13988095238095238,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,robust_z_score,0.36996557818278736,0.01,115,20,0.09523809523809523,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,robust_z_score,0.36996557818278736,0.05,574,133,0.1310344827586207,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,robust_z_score,0.36996557818278736,0.1,1149,378,0.196875,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,anomaly_ensemble_score,0.38798387663427747,0.01,115,46,0.25,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,anomaly_ensemble_score,0.38798387663427747,0.05,574,192,0.200836820083682,"Method agreement measures alert-score similarity, not incident truth."
transparent_risk_score,anomaly_ensemble_score,0.38798387663427747,0.1,1149,442,0.23814655172413793,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,lof_score,0.7390471667254344,0.01,115,34,0.17346938775510204,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,lof_score,0.7390471667254344,0.05,574,255,0.2855543113101904,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,lof_score,0.7390471667254344,0.1,1149,600,0.35335689045936397,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,robust_z_score,0.7983777901289703,0.01,115,28,0.13861386138613863,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,robust_z_score,0.7983777901289703,0.05,574,255,0.2855543113101904,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,robust_z_score,0.7983777901289703,0.1,1149,625,0.3735803945008966,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,anomaly_ensemble_score,0.9414295188481657,0.01,115,67,0.4110429447852761,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,anomaly_ensemble_score,0.9414295188481657,0.05,574,402,0.5388739946380697,"Method agreement measures alert-score similarity, not incident truth."
isolation_forest_score,anomaly_ensemble_score,0.9414295188481657,0.1,1149,868,0.606993006993007,"Method agreement measures alert-score similarity, not incident truth."
lof_score,robust_z_score,0.597299294474304,0.01,115,28,0.13861386138613863,"Method agreement measures alert-score similarity, not incident truth."
lof_score,robust_z_score,0.597299294474304,0.05,574,158,0.1595959595959596,"Method agreement measures alert-score similarity, not incident truth."
lof_score,robust_z_score,0.597299294474304,0.1,1149,394,0.20693277310924368,"Method agreement measures alert-score similarity, not incident truth."
lof_score,anomaly_ensemble_score,0.8644411543896208,0.01,115,47,0.2568306010928962,"Method agreement measures alert-score similarity, not incident truth."
lof_score,anomaly_ensemble_score,0.8644411543896208,0.05,574,318,0.38313253012048193,"Method agreement measures alert-score similarity, not incident truth."
lof_score,anomaly_ensemble_score,0.8644411543896208,0.1,1149,738,0.47307692307692306,"Method agreement measures alert-score similarity, not incident truth."
robust_z_score,anomaly_ensemble_score,0.8857483227569444,0.01,115,43,0.22994652406417113,"Method agreement measures alert-score similarity, not incident truth."
robust_z_score,anomaly_ensemble_score,0.8857483227569444,0.05,574,287,0.3333333333333333,"Method agreement measures alert-score similarity, not incident truth."
robust_z_score,anomaly_ensemble_score,0.8857483227569444,0.1,1149,666,0.40808823529411764,"Method agreement measures alert-score similarity, not incident truth."
