source_layer,dataset,scope,file_path,file_status,n_rows,n_columns,start_date,end_date,missing_ratio,notes
Coin Metrics,asset_metrics,BTC:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,BTC:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,BTC:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,BTC:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,ETH:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,ETH:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,ETH:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,ETH:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,available,1642,5,2021-01-01,2025-06-30,0.0,Downloaded from Coin Metrics community API.
Coin Metrics,asset_metrics,BNB:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,missing_or_empty,0,0,,,,No rows returned by Coin Metrics community API.
Coin Metrics,asset_metrics,BNB:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,missing_or_empty,0,0,,,,No rows returned by Coin Metrics community API.
