data_layer,dataset,scope,file_path,file_exists,file_size_kb,file_status,n_rows,n_columns,start_date,end_date,coverage_quality,notes,claim_boundary
Layer 1: Yahoo OHLCV,daily_ohlcv,BTC,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 1: Yahoo OHLCV,daily_ohlcv,ETH,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 1: Yahoo OHLCV,daily_ohlcv,BNB,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 1: Yahoo OHLCV,daily_ohlcv,SOL,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 1: Yahoo OHLCV,daily_ohlcv,USDC,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 1: Yahoo OHLCV,daily_ohlcv,USDT,projects/topic2_blockchain_risk/data/raw/yahoo_ohlcv.csv,True,1182.34,available,1641,9,2021-01-01,2025-06-29,high,coverage_ratio=1.0; zero_or_negative_price_days=0; zero_volume_days=0,"OHLCV supports market-risk signals, not fraud attribution."
Layer 2/3: Coin Metrics,asset_metrics,BTC:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,BTC:TxCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,BTC:CapMrktCurUSD,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,BTC:SplyCur,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
Layer 2/3: Coin Metrics,asset_metrics,ETH:AdrActCnt,projects/topic2_blockchain_risk/data/raw/coinmetrics_asset_metrics.csv,True,482.98,available,1642,5,2021-01-01,2025-06-30,medium,Downloaded from Coin Metrics community API.,Context data are supplementary risk signals and should not be treated as incident labels.
