asset,tail_variable,definition,n_obs,threshold_quantile,threshold_value,n_exceedances,exceedance_rate,gpd_shape,gpd_scale,empirical_q99,evt_var_99,evt_expected_shortfall_99,weak_label_7d_rate_among_exceedances,status,claim_boundary
BNB,abs_log_return,absolute daily log return,1640,0.95,0.08391747251143822,82,0.05,0.3957937248679645,0.03200818951520894,0.16444879382394337,0.15595808515597945,0.18408427717154627,0.04878048780487805,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
BNB,intraday_range,intraday range divided by close,1641,0.95,0.133493869157599,82,0.049969530773918344,0.2739725741932676,0.052421433626425054,0.2543020475705432,0.23952785013853328,0.24570979028096895,0.036585365853658534,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
BTC,abs_log_return,absolute daily log return,1640,0.95,0.06789729853695348,82,0.05,-0.07958927945783982,0.026663331898063792,0.105099719910385,0.10817551764582953,0.08962557789993822,0.13414634146341464,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
BTC,intraday_range,intraday range divided by close,1641,0.95,0.0986251476888721,82,0.049969530773918344,0.032094176803381086,0.037032309173405026,0.1587218605167555,0.15979250734923625,0.13891359755081623,0.13414634146341464,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
ETH,abs_log_return,absolute daily log return,1640,0.95,0.08667854769647991,82,0.05,0.11605569727136775,0.03194803618992858,0.1418561973475884,0.14321248911011034,0.1302436479650296,0.08536585365853659,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
ETH,intraday_range,intraday range divided by close,1641,0.95,0.1295994451380219,82,0.049969530773918344,0.286808616942717,0.036893254841675605,0.2123531363883275,0.2050574659500241,0.21167456104460206,0.07317073170731707,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
SOL,abs_log_return,absolute daily log return,1640,0.95,0.1216271402368299,82,0.05,0.20389192290519992,0.044618138851372106,0.21836358655077,0.20662141971566336,0.19944042678997803,0.04878048780487805,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
SOL,intraday_range,intraday range divided by close,1641,0.95,0.1833777793786643,82,0.049969530773918344,0.24311907600377408,0.06353154653649583,0.285943237858013,0.3085180554333318,0.3075129396700502,0.06097560975609756,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDC,abs_log_return,absolute daily log return,1640,0.95,0.0007176357463624698,82,0.05,0.8813705521829812,0.00029890686771015995,0.0017627732183535339,0.0017794673660923074,0.011126299121592758,0.06097560975609756,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDC,intraday_range,intraday range divided by close,1641,0.95,0.0031807349838452,82,0.049969530773918344,0.9855251206100748,0.0008317675180570168,0.004147773796259298,0.0064594985735960606,0.2838788527951848,0.04878048780487805,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDC,stablecoin_peg_deviation,absolute stablecoin peg deviation,1641,0.95,0.0005860328674316,82,0.049969530773918344,0.6515292005552928,0.0003364856186008298,0.0014359951019287,0.0015433554383042132,0.003341526955903596,0.07317073170731707,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDT,abs_log_return,absolute daily log return,3280,0.95,0.0009248345029024048,164,0.05,0.5542472778635801,0.0003586485530908372,0.0017057744014065,0.0018566909415227116,0.002888092165943586,0.07317073170731707,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDT,intraday_range,intraday range divided by close,3282,0.95,0.003502131574221,164,0.049969530773918344,0.9945015213182852,0.0004940305739436098,0.0049237718614659,0.00546729620446723,0.44878707857355815,0.0975609756097561,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
USDT,stablecoin_peg_deviation,absolute stablecoin peg deviation,3282,0.95,0.0013370513916015,164,0.049969530773918344,0.3750239886444223,0.0005291075091575716,0.0023260116577148,0.002506162679865665,0.0028851944724102973,0.14634146341463414,completed,"EVT/POT tail risk is a statistical stress diagnostic, not proof of manipulation or fraud."
