feature,n_rows,missing_ratio,n_unique,min,max,claim_boundary
volume,11487,0.0,9841,25722549.0,83252070566791.0,"Features support market-integrity risk diagnostics, not fraud attribution."
log_close,11487,0.0,7882,-0.028914031270147182,11.623332755459392,"Features support market-integrity risk diagnostics, not fraud attribution."
log_return,11487,0.0006093845216331506,9819,-0.5495821084962169,0.5292178669714955,"Features support market-integrity risk diagnostics, not fraud attribution."
abs_log_return,11487,0.0006093845216331506,9809,0.0,0.5495821084962169,"Features support market-integrity risk diagnostics, not fraud attribution."
negative_return,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
rolling_vol_7d,11487,0.0030469226081657527,9816,2.0111261026125737e-05,0.2775089316086132,"Features support market-integrity risk diagnostics, not fraud attribution."
rolling_vol_30d,11487,0.009140767824497258,9756,5.4959549815205876e-05,0.1549031478434348,"Features support market-integrity risk diagnostics, not fraud attribution."
volume_log,11487,0.0,9841,17.062878597053714,32.052894116152984,"Features support market-integrity risk diagnostics, not fraud attribution."
volume_z_30d,11487,0.005484460694698354,9792,-3.1328108963030328,5.224528782346566,"Features support market-integrity risk diagnostics, not fraud attribution."
return_z_30d,11487,0.006093845216331505,9786,-5.291883585999826,5.053130645166781,"Features support market-integrity risk diagnostics, not fraud attribution."
abs_return_z_30d,11487,0.006093845216331505,9786,-1.7656158760325107,5.293419389105287,"Features support market-integrity risk diagnostics, not fraud attribution."
drawdown_30d,11487,0.005484460694698354,8872,-0.6777923855801311,0.0,"Features support market-integrity risk diagnostics, not fraud attribution."
intraday_range,11487,0.0,9844,6.293960873020055e-05,1.3509588636935872,"Features support market-integrity risk diagnostics, not fraud attribution."
intraday_range_z_30d,11487,0.005484460694698354,9792,-5.117743891567658,5.29464080582564,"Features support market-integrity risk diagnostics, not fraud attribution."
stablecoin_peg_deviation,11487,0.0,1218,0.0,0.028500020503997803,"Features support market-integrity risk diagnostics, not fraud attribution."
stablecoin_depeg_1pct,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
event_count_3d,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
weak_label_3d,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
event_count_7d,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
weak_label_7d,11487,0.0,2,0.0,1.0,"Features support market-integrity risk diagnostics, not fraud attribution."
AdrActCnt,11487,0.2857142857142857,6533,18610.0,5478691.0,"Features support market-integrity risk diagnostics, not fraud attribution."
TxCnt,11487,0.2857142857142857,6546,35343.0,9187396.0,"Features support market-integrity risk diagnostics, not fraud attribution."
CapMrktCurUSD,11487,0.2857142857142857,6563,4119730823.507957,2214868273238.022,"Features support market-integrity risk diagnostics, not fraud attribution."
SplyCur,11487,0.2857142857142857,5925,18587827.69247703,159644543727.436,"Features support market-integrity risk diagnostics, not fraud attribution."
AdrActCnt_log,11487,0.2857142857142857,6533,9.831508082743964,15.516376944302744,"Features support market-integrity risk diagnostics, not fraud attribution."
AdrActCnt_z_30d,11487,0.28963175763907023,6528,-4.983684748492508,4.9469322843463885,"Features support market-integrity risk diagnostics, not fraud attribution."
TxCnt_log,11487,0.2857142857142857,6546,10.472883925659898,16.033343211556033,"Features support market-integrity risk diagnostics, not fraud attribution."
TxCnt_z_30d,11487,0.28963175763907023,6528,-4.609511969742306,5.011752669001078,"Features support market-integrity risk diagnostics, not fraud attribution."
CapMrktCurUSD_log,11487,0.2857142857142857,6563,22.139053664316204,28.426214047336234,"Features support market-integrity risk diagnostics, not fraud attribution."
CapMrktCurUSD_z_30d,11487,0.28963175763907023,6528,-5.294472083691089,5.290410029066385,"Features support market-integrity risk diagnostics, not fraud attribution."
SplyCur_log,11487,0.2857142857142857,5890,16.738017553116833,25.796215579064896,"Features support market-integrity risk diagnostics, not fraud attribution."
SplyCur_z_30d,11487,0.2939845042221642,6503,-5.295432907025203,5.294625182041422,"Features support market-integrity risk diagnostics, not fraud attribution."
total_dex_volume,11487,0.0,1641,659150528.0,48457866071.0,"Features support market-integrity risk diagnostics, not fraud attribution."
total_dex_volume_log,11487,0.0,1641,20.30646248671667,24.60396051653238,"Features support market-integrity risk diagnostics, not fraud attribution."
dex_volume_z_30d,11487,0.0,1641,-2.7617192781622575,4.169908207502609,"Features support market-integrity risk diagnostics, not fraud attribution."
defillama_chain,11487,0.1561765474014103,4,,,"Features support market-integrity risk diagnostics, not fraud attribution."
chain_tvl,11487,0.1561765474014103,6409,46073506.0,107449681996.0,"Features support market-integrity risk diagnostics, not fraud attribution."
chain_tvl_log,11487,0.1561765474014103,6409,17.645748657305514,25.400288500486578,"Features support market-integrity risk diagnostics, not fraud attribution."
chain_tvl_z_30d,11487,0.1577435361713241,8034,-4.632079737450792,5.143981990003648,"Features support market-integrity risk diagnostics, not fraud attribution."
