asset_a,asset_b,return_corr_all,return_corr_event_window_7d,return_corr_non_event,delta_abs_return_corr_event_minus_non_event,weak_score_corr_all,weak_score_corr_event_window_7d,weak_score_corr_non_event,delta_abs_score_corr_event_minus_non_event,n_all_days,n_event_window_days,n_non_event_days,claim_boundary
BNB,BTC,0.6579580308060141,0.7916535188713257,0.6449728019559232,0.14668071691540252,0.5011077811549693,0.6012872740326746,0.48654070903447705,0.11474656499819752,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BNB,ETH,0.6709725883068093,0.7807156098589471,0.6612613025744646,0.11945430728448247,0.4792875544694312,0.3778007021857897,0.4762343014665541,-0.0984335992807644,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BNB,SOL,0.5775709634977519,0.7851297208203459,0.5551458437335617,0.22998387708678425,0.49177916258516907,0.5702075112394026,0.4672853288344076,0.10292218240499501,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BNB,USDC,0.018777259305662212,0.05993238134178137,0.008620214139813754,0.051312167201967615,0.42704772926858237,0.6133606605614461,0.40665963895998125,0.20670102160146486,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BNB,USDT,0.07133638365250679,0.1709484274896676,0.06003543864488954,0.11091298884477806,0.4253261522680625,0.5027356399943818,0.40289656395224943,0.09983907604213232,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BTC,ETH,0.8170304276689188,0.9422272941083926,0.8059965225393688,0.13623077156902375,0.5343017147946292,0.5652387528400625,0.5269438471301364,0.03829490570992611,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BTC,SOL,0.6077096338356073,0.8141314141543045,0.5829145531063169,0.23121686104798755,0.47290167584328985,0.5331760380375594,0.46127984427829677,0.07189619375926265,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BTC,USDC,0.012863290285253261,0.10429523542214388,-0.032235414627734785,0.07205982079440909,0.43559317924581487,0.5341639830460156,0.4245548517914706,0.10960913125454502,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
BTC,USDT,0.09148765362241301,0.08502842809721392,0.09232036876773327,-0.007291940670519345,0.4499872003879561,0.4672129635206879,0.4422644129480453,0.024948550572642614,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
ETH,SOL,0.6532836583589289,0.8554676478413299,0.633278645585801,0.22218900225552884,0.519050809706797,0.5288016407238421,0.5014755213464501,0.027326119377391933,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
ETH,USDC,-0.009613322790377106,0.04549837325582737,-0.04409742920542684,0.0014009440504005252,0.38847659810842455,0.40763037537742525,0.38256721191104415,0.0250631634663811,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
ETH,USDT,0.07651411087448567,0.14792793444281246,0.06893925631158859,0.07898867813122387,0.45380355123973193,0.3173186799463279,0.4550577060261817,-0.13773902607985378,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
SOL,USDC,-0.0033806077626122905,0.06333177522814327,-0.051568759438103726,0.01176301579003955,0.37746973784642657,0.5520518484939737,0.3566827850382127,0.195369063455761,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
SOL,USDT,0.04025425894689233,0.22422181646901454,0.01270817199242544,0.2115136444765891,0.4077383731868077,0.42359384923306265,0.38778675951249153,0.03580708972057112,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
USDC,USDT,0.15127824192061579,-0.5479515990445228,0.7278363096946855,-0.17988471065016265,0.6109732452622338,0.6821381769784777,0.6034524202324933,0.07868575674598433,1640,75,1565,"Connectedness is descriptive spillover evidence, not causal transmission proof."
