date,asset,transparent_risk_score,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,rolling_vol_7d,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,claim_boundary
2023-03-11,USDC,100.0,1,1,E003,stablecoin_depeg,high,-0.0283928913003175,0.0106980744351061,4.247235213985159,5.294398995235628,-0.0287865702198393,0.0285000205039978,2.488102934671,-2.1539885627355755,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,99.99129450683381,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0014698980181551,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,3.274289373971136,-2.802849274306976,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,USDT,99.98258901366762,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0014698980181551,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,3.274289373971136,-2.802849274297959,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,SOL,99.97388352050145,0,0,,,,-0.284965102911531,0.1106360078184529,2.7536052477033826,4.504107725731709,-0.5375768054443825,0.0,3.274289373971136,-2.8338159794462876,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,SOL,99.96517802733524,1,1,E002,exchange_failure,high,-0.5495821084962169,0.2209256968217488,2.4352872698357046,4.757991953704207,-0.6208195872887149,0.0,2.927581869113105,-3.6393797190895056,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,USDT,99.95647253416907,0,0,,,,-0.0014329223828259,0.0005455748761079,2.2017089993849397,5.066891053910359,-0.0016256472793532,0.0013999938964843,2.927581869113105,-2.59659270416137,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-09,USDT,99.94776704100288,0,0,,,,-0.0014329223828259,0.0005455748761079,2.2017089993849397,5.066891053910359,-0.0016256472793532,0.0013999938964843,2.927581869113105,-2.5965927041322785,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-19,BTC,99.93906154783669,0,0,,,,-0.1481070763518861,0.0565681499343873,2.8466154526301017,4.478238457004,-0.3707472023447685,0.0,3.3847732494386524,-3.1468791081088012,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-11,BNB,99.9303560546705,0,0,,,,-0.1679314923067618,0.0864933245893027,2.592455883061618,3.407524650143364,-0.3619864625853823,0.0,3.274289373971136,-3.0804902909611087,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-09,SOL,99.92165056150431,0,0,,,,-0.1730137997587535,0.0758348864198242,2.2522269450735997,3.4664472078382538,-0.4337902972797575,0.0,3.1011496912250793,-2.3553856490949103,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-09,BNB,99.91294506833812,0,0,,,,-0.1716304683028857,0.0682773640388222,2.2834324317660357,4.387996024974091,-0.2925369825264517,0.0,3.1011496912250793,-3.134223434703873,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-12,USDT,99.90423957517194,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017164457608397,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,2.5973990779141833,-3.609884400097608,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-12,USDT,99.89553408200574,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017164457608397,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,2.5973990779141833,-3.6098844000913153,"Top alerts are review candidates, not confirmed fraud cases."
2023-03-12,USDC,99.88682858883956,1,1,E003,stablecoin_depeg,high,0.0209514196194405,0.0143550323474738,1.891513353292975,1.7405323555454009,-0.0082236107067468,0.0079309940338135,2.5017076595794925,-2.4210787240925464,"Top alerts are review candidates, not confirmed fraud cases."
2022-05-09,BTC,99.87812309567336,1,1,E001,stablecoin_depeg,high,-0.1170549632581519,0.0536580530762322,2.6325689120126095,3.2612181520249326,-0.2821932179835493,0.0,3.1011496912250793,-2.5161096085032635,"Top alerts are review candidates, not confirmed fraud cases."
2022-01-22,SOL,99.86941760250718,0,0,,,,-0.1730052492333333,0.0663208066710289,2.2451105724058507,3.631710700148751,-0.5243534381777806,0.0,2.468945022682591,-1.844845410947493,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-10,USDT,99.860712109341,0,0,,,,-0.0007663917515725,0.0005739496963446,1.5713010431474863,5.277570570814031,-0.0023905000224063,0.0021650195121764,2.582073474604977,-3.8796535655799858,"Top alerts are review candidates, not confirmed fraud cases."
2022-11-10,USDT,99.8520066161748,0,0,,,,-0.0007663917515725,0.0005739496963446,1.5713010431474863,5.277570570814031,-0.0023905000224063,0.0021650195121764,2.582073474604977,-3.879653565559772,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-19,BNB,99.84330112300862,0,0,,,,-0.4044500874670103,0.1515060673168919,1.795887468724866,4.893610078136581,-0.498248528870842,0.0,3.3847732494386524,-1.6248832114051963,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,USDT,99.83459562984243,0,0,,,,-0.0004865821810005,0.0002019724198404,2.6835891298823595,4.599644238721725,-0.0008205215064843,0.0014060139656068,2.985161426687413,-3.3307345384927394,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,USDT,99.82589013667624,0,0,,,,-0.0004865821810005,0.0002019724198404,2.6835891298823595,4.599644238721725,-0.0008205215064843,0.0014060139656068,2.985161426687413,-3.330734538470226,"Top alerts are review candidates, not confirmed fraud cases."
2021-05-19,SOL,99.81718464351006,0,0,,,,-0.4653547338509138,0.2051948364449388,2.132305702661152,4.836612177591474,-0.3720876760787523,0.0,3.3847732494386524,-1.4851461456003157,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-13,BNB,99.80847915034387,0,0,,,,-0.140032466075084,0.0498081555051727,1.5012371510555866,3.926069627957887,-0.3220200596832392,0.0,2.985161426687413,-2.3704816405105205,"Top alerts are review candidates, not confirmed fraud cases."
2021-12-04,BTC,99.79977365717768,0,0,,,,-0.0856084308551636,0.0423581186405862,2.7354764005767347,4.347013773049169,-0.2718216247479058,0.0,2.5173805223796655,-1.750654367070718,"Top alerts are review candidates, not confirmed fraud cases."
2023-06-10,BNB,99.79106816401149,0,1,E004,regulatory_action,medium,-0.0865958510066464,0.0503516711763384,2.5591368324763706,3.009060602514035,-0.239224097958429,0.0,2.5000864407569785,-2.3616542413696355,"Top alerts are review candidates, not confirmed fraud cases."
2022-06-15,SOL,99.7823626708453,0,0,,,,0.1489706119600873,0.0952885754601392,1.829424563378804,2.759192102791275,-0.3962789663402145,0.0,1.8353893250032012,-2.7472224050944893,"Top alerts are review candidates, not confirmed fraud cases."
